Time,PV,OUT
2025-03-03 17:47:01,26.51,45.0
2025-03-03 17:47:03,26.54,45.0
2025-03-03 17:47:13,26.78,45.0
2025-03-03 17:47:15,26.82,45.0
2025-03-03 17:47:27,27.09,45.0
2025-03-03 17:47:29,27.13,45.0
2025-03-03 17:47:39,27.35,45.0
2025-03-03 17:47:41,27.39,45.0
2025-03-03 17:47:51,27.6,45.0
2025-03-03 17:47:53,27.65,45.0
2025-03-03 17:48:03,27.87,45.0
2025-03-03 17:48:05,27.92,45.0
2025-03-03 17:48:15,28.13,45.0
2025-03-03 17:48:17,28.17,45.0
2025-03-03 17:48:27,28.38,45.0
2025-03-03 17:48:29,28.41,45.0
2025-03-03 17:48:39,28.61,45.0
2025-03-03 17:48:41,28.66,45.0
2025-03-03 17:48:51,28.85,45.0
2025-03-03 17:48:53,28.9,45.0
2025-03-03 17:49:03,29.09,45.0
2025-03-03 17:49:05,29.12,45.0
2025-03-03 17:49:15,29.33,45.0
2025-03-03 17:49:17,29.36,45.0
2025-03-03 17:49:27,29.56,45.0
2025-03-03 17:49:29,29.61,45.0
2025-03-03 17:49:39,29.8,45.0
2025-03-03 17:49:41,29.84,45.0
2025-03-03 17:49:51,30.03,45.0
2025-03-03 17:49:53,30.07,45.0
2025-03-03 17:50:03,30.27,45.0
2025-03-03 17:50:05,30.31,45.0
2025-03-03 17:50:15,30.5,45.0
2025-03-03 17:50:17,30.53,45.0
2025-03-03 17:50:27,30.73,45.0
2025-03-03 17:50:29,30.77,45.0
2025-03-03 17:50:39,30.96,45.0
2025-03-03 17:50:41,31.0,45.0
2025-03-03 17:50:51,31.19,45.0
2025-03-03 17:50:53,31.23,45.0
2025-03-03 17:51:03,31.43,45.0
2025-03-03 17:51:05,31.47,45.0
2025-03-03 17:51:15,31.66,45.0
2025-03-03 17:51:17,31.69,45.0
2025-03-03 17:51:29,31.92,45.0
2025-03-03 17:51:31,31.95,45.0
2025-03-03 17:51:41,32.14,45.0
2025-03-03 17:51:43,32.18,45.0
2025-03-03 17:51:53,32.37,45.0
2025-03-03 17:51:55,32.41,45.0
2025-03-03 17:52:05,32.6,45.0
2025-03-03 17:52:07,32.64,45.0
2025-03-03 17:52:17,32.83,45.0
2025-03-03 17:52:19,32.87,45.0
2025-03-03 17:52:29,33.06,45.0
2025-03-03 17:52:31,33.09,45.0
2025-03-03 17:52:41,33.28,45.0
2025-03-03 17:52:43,33.32,45.0
2025-03-03 17:52:53,33.5,45.0
2025-03-03 17:52:55,33.54,45.0
2025-03-03 17:53:05,33.73,45.0
2025-03-03 17:53:07,33.76,45.0
2025-03-03 17:53:17,33.94,45.0
2025-03-03 17:53:19,33.98,45.0
2025-03-03 17:53:29,34.16,45.0
2025-03-03 17:53:31,34.21,45.0
2025-03-03 17:53:41,34.4,45.0
2025-03-03 17:53:43,34.42,45.0
2025-03-03 17:53:53,34.61,45.0
2025-03-03 17:53:55,34.65,45.0
2025-03-03 17:54:05,34.83,45.0
2025-03-03 17:54:07,34.88,45.0
2025-03-03 17:54:17,35.06,45.0
2025-03-03 17:54:19,35.09,45.0
2025-03-03 17:54:29,35.28,45.0
2025-03-03 17:54:31,35.33,45.0
2025-03-03 17:54:41,35.51,45.0
2025-03-03 17:54:43,35.55,45.0
2025-03-03 17:54:53,35.75,45.0
2025-03-03 17:54:55,35.78,45.0
2025-03-03 17:55:05,35.97,45.0
2025-03-03 17:55:07,36.02,45.0
2025-03-03 17:55:17,36.2,45.0
2025-03-03 17:55:19,36.24,45.0
2025-03-03 17:55:29,36.45,45.0
2025-03-03 17:55:31,36.48,45.0
2025-03-03 17:55:43,36.71,45.0
2025-03-03 17:55:45,36.75,45.0
2025-03-03 17:55:55,36.95,45.0
2025-03-03 17:55:57,36.98,45.0
2025-03-03 17:56:07,37.17,45.0
2025-03-03 17:56:09,37.22,45.0
2025-03-03 17:56:19,37.41,45.0
2025-03-03 17:56:21,37.45,45.0
2025-03-03 17:56:31,37.64,45.0
2025-03-03 17:56:33,37.68,45.0
2025-03-03 17:56:43,37.88,45.0
2025-03-03 17:56:45,37.92,45.0
2025-03-03 17:56:55,38.11,45.0
2025-03-03 17:56:57,38.15,45.0
2025-03-03 17:57:07,38.34,45.0
2025-03-03 17:57:09,38.38,45.0
2025-03-03 17:57:19,38.57,45.0
2025-03-03 17:57:21,38.61,45.0
2025-03-03 17:57:31,38.8,45.0
2025-03-03 17:57:33,38.84,45.0
2025-03-03 17:57:43,39.03,45.0
2025-03-03 17:57:45,39.08,45.0
2025-03-03 17:57:55,39.26,45.0
2025-03-03 17:57:57,39.3,45.0
2025-03-03 17:58:07,39.49,45.0
2025-03-03 17:58:09,39.53,45.0
2025-03-03 17:58:19,39.72,45.0
2025-03-03 17:58:21,39.76,45.0
2025-03-03 17:58:31,39.95,45.0
2025-03-03 17:58:33,39.98,45.0
2025-03-03 17:58:43,40.18,45.0
2025-03-03 17:58:45,40.22,45.0
2025-03-03 17:58:55,40.41,45.0
2025-03-03 17:58:57,40.45,45.0
2025-03-03 17:59:07,40.63,45.0
2025-03-03 17:59:09,40.68,45.0
2025-03-03 17:59:19,40.86,45.0
2025-03-03 17:59:21,40.9,45.0
2025-03-03 17:59:31,41.08,45.0
2025-03-03 17:59:33,41.13,45.0
2025-03-03 17:59:43,41.31,45.0
2025-03-03 17:59:45,41.34,45.0
2025-03-03 17:59:57,41.58,45.0
2025-03-03 17:59:59,41.61,45.0
2025-03-03 18:00:03,,43.0
2025-03-03 18:00:05,,41.0
2025-03-03 18:00:09,41.79,41.0
2025-03-03 18:00:11,41.83,41.0
2025-03-03 18:00:19,,40.71
2025-03-03 18:00:21,41.96,40.4
2025-03-03 18:00:23,41.99,40.05
2025-03-03 18:00:33,42.13,38.32
2025-03-03 18:00:35,42.16,37.95
2025-03-03 18:00:45,42.35,35.97
2025-03-03 18:00:47,42.4,35.55
2025-03-03 18:00:57,42.56,33.66
2025-03-03 18:00:59,42.6,33.27
2025-03-03 18:01:09,42.71,31.53
2025-03-03 18:01:11,42.74,31.15
2025-03-03 18:01:21,42.87,29.36
2025-03-03 18:01:23,42.9,28.95
2025-03-03 18:01:33,43.07,26.98
2025-03-03 18:01:35,43.1,26.59
2025-03-03 18:01:45,43.19,24.87
2025-03-03 18:01:47,43.21,24.51
2025-03-03 18:01:57,43.3,22.8
2025-03-03 18:01:59,43.33,22.4
2025-03-03 18:02:09,43.45,20.53
2025-03-03 18:02:11,43.47,20.16
2025-03-03 18:02:21,43.55,18.41
2025-03-03 18:02:23,43.58,18.03
2025-03-03 18:02:33,43.72,16.01
2025-03-03 18:02:35,43.78,15.5
2025-03-03 18:02:45,44.07,12.87
2025-03-03 18:02:47,44.12,12.35
2025-03-03 18:02:57,44.41,9.66
2025-03-03 18:02:59,44.47,9.11
2025-03-03 18:03:09,44.79,6.25
2025-03-03 18:03:11,44.86,5.64
2025-03-03 18:03:21,45.18,2.7
2025-03-03 18:03:23,45.24,2.11
2025-03-03 18:03:31,,0.0
2025-03-03 18:03:33,45.53,0.0
2025-03-03 18:03:35,45.59,0.0
2025-03-03 18:03:45,45.86,0.0
2025-03-03 18:03:47,45.9,0.0
2025-03-03 18:03:59,46.11,0.0
2025-03-03 18:04:01,46.15,0.0
2025-03-03 18:04:11,46.26,0.0
2025-03-03 18:04:21,46.24,0.0
2025-03-03 18:04:25,46.23,0.0
2025-03-03 18:04:35,46.14,0.0
2025-03-03 18:04:39,46.13,0.0
2025-03-03 18:04:47,46.06,0.0
2025-03-03 18:04:49,46.04,0.0
2025-03-03 18:04:59,45.89,0.0
2025-03-03 18:05:01,45.86,0.0
2025-03-03 18:05:11,45.68,0.0
2025-03-03 18:05:13,45.64,0.0
2025-03-03 18:05:23,45.52,0.0
2025-03-03 18:05:25,45.5,0.0
2025-03-03 18:05:35,45.42,0.0
2025-03-03 18:05:37,45.4,0.0
2025-03-03 18:05:47,45.31,0.0
2025-03-03 18:05:49,45.29,0.0
2025-03-03 18:05:59,45.19,0.0
2025-03-03 18:06:01,45.17,0.0
2025-03-03 18:06:11,45.07,0.0
2025-03-03 18:06:13,45.06,0.0
2025-03-03 18:06:23,44.98,0.0
2025-03-03 18:06:27,44.96,0.0
2025-03-03 18:06:35,44.92,0.0
2025-03-03 18:06:37,44.9,0.0
2025-03-03 18:06:47,44.81,0.0
2025-03-03 18:06:49,44.79,0.0
2025-03-03 18:06:59,44.66,0.0
2025-03-03 18:07:01,44.63,0.0
2025-03-03 18:07:11,44.51,0.0
2025-03-03 18:07:13,44.49,0.0
2025-03-03 18:07:23,44.35,0.0
2025-03-03 18:07:25,44.32,0.0
2025-03-03 18:07:35,44.2,0.0
2025-03-03 18:07:37,44.17,0.0
2025-03-03 18:07:47,44.03,0.0
2025-03-03 18:07:49,43.99,0.0
2025-03-03 18:07:59,43.8,0.0
2025-03-03 18:08:01,43.76,0.0
2025-03-03 18:08:13,43.51,0.0
2025-03-03 18:08:15,43.47,0.0
2025-03-03 18:08:25,43.25,0.0
2025-03-03 18:08:27,43.2,15.0
2025-03-03 18:08:37,43.01,35.0
2025-03-03 18:08:39,42.96,40.0
2025-03-03 18:08:47,42.88,40.0
2025-03-03 18:08:51,42.89,40.0
2025-03-03 18:08:55,42.83,40.0
2025-03-03 18:08:57,42.81,41.29
